Record ID,First,Last,ADD,ADD 2,ZIP,Z 4,Source
282088936,RENEE,BAIER,S E 3187 36th Cir,,80122,3328,A
281663017,MARCIA,PEAK,E 30652 3rd Vly,,80433,7427,A
282178696,LISA,BIRDWELL,210 3rd Beach Ave,,80104,2232,A
143099707,EDWARD,HINKEL,131 46th Smith Avenue Dr,,02896,8126,A
282794823,ALAN,KLEPACKI,5513 4th Way,,80002,3124,A
281394023,J,GERKEN,S 2069 5th St,,80219,5154,A
282551902,SHERRY,SMITH,E 14390 64th Lindy Avenue Dr,APT 201,80014,3772,A
143324275,KIRSTEN,ANDERSON,82 6th St,,02818,3305,A
280095553,CHRISTINE,ALMODOVAR,1649 7th Dr,,80504,3014,A
282522568,MIKE,LOS,E 16823 8th Pl,,80016,5047,A
282674463,J,HOBBS,E 14704 95th Omaha Boulevard Ave,,80011,3457,A
279960040,L,VEO,S 1010 9th St,,81401,4054,A
280898332,CAROL,CLEM,2133 9th Merica Rd,UNIT A-108,80525,6757,A
282169343,MICHAEL,BLANCHARD,N 134 A St,,80104,8504,A
280617595,WILMA,PETERS,4522 A Admiralty Dr,,80634,9280,A
281269143,ROBERT,MERRITT,S 1872 A Bainbridge St,,80231,8007,A
282617818,DEANNA,BAIER-BARNES,E 20086 A Connell Dr,,80013,9435,A
281586227,DONNA,LUNA,555 A Fifth St,,80204,4633,A
282512015,RENEE,GORDON,S 5348 A Mooresfield Rd Way,,80016,5873,A
143440228,M,PLATAU,15 Aa Bainbridge Rd,,02816,6053,A
281272094,JOHN,KIMLEY,S 3380 Aaron Ct,,80231,4726,A
279586016,DWIGHT,WALKER,1415 Abalone St,APT F46,80751,2875,A
143045845,ALLAN,MCKINNON,165 Abbey St,,02861,3221,A
279718010,TRACEY,MCCORMAC,2214 Abbi St,,81004,3902,A
281733058,MARK,STOUFFER,6140 Abbott Ct,,80922,1702,A
280645421,ROBERT,COSTELLO,9921 Abbott Run Valley,SPC 26,80447,8802,A
281801350,G,NUNN,1022 Abbott Valley View Dr,,80919,1435,A
143306800,E,JANNERELLI,5 Abbotts Crossing Rd,,02914,1919,A
279433541,KIRSTEN,ANDREWS,11092 Abbottsford Ct,,80031,2009,A
280883405,MIDGE,SMILIE,1030 Abby Dr,,80525,5891,A
282510415,LINDA,THOMPSON,S 7140 Abe St,,80016,6024,A
280194122,ROBERT,SUDDATH,W 10405 Abel Mtn,,80127,3836,A
143126243,DORIS,GAGNON,380 Abel Hart Ave,APT 19,02904,3790,A
280450091,DEBRA,BEDWELL,38 Aberdeen,,80825,0038,A
280888573,LINDA,ROLLIN,E 2101 Abigail,,80525,9332,A
280183425,GREG,JOHNSON,W 6876 Abilio Pl,,80128,6395,A
279506766,PATRICIA,MALLETT,9595 Abner St,LOT 129,80260,5931,A
280291684,JYOTI,PATEL,S 5558 Aborn St,UNIT 102,80120,1164,A
143141181,CHARLES,MCLAREN,85 Abraham Dr,,02852,3113,A
281665390,PAUL,MARTIN,28425 Abram Ln,,80433,7242,A
279697661,GREG,VALENCIA,3804 Abruzzese Ln,,81005,3330,A
281127988,PATRICIA,SALMANS,253 Absalona Hill,,80024,0253,A
143084116,WILLIAM,SATTI,210 Acacia St,APT 2,02860,4352,A
279963694,HUGH,YATES,472 Academy Dr,,81401,3816,A
281749233,CHRIS,KEOUGH,1235 Acciardo Ln,,80921,2272,A
143031966,SARA,VANHOF,48 Achille Ln,,02871,3000,A
281033448,JENNIFER,MCKERNAN,S 4353 Acorn St,,80113,5728,A
279509318,CLIFFORD,PIGG,10211 Acorn Valley Ln,APT 9-107,80260,6359,A
280579301,ANDREW,WINKELJOHN,S 4950 Acre St,,80111,1349,A
282248263,ANITA,RYAN,14165 Acre Pond Dr,,80023,4243,A
280710588,LINDA,CRUZ,W 525 Acres Ave,,81501,5654,A
280010657,BEVERLY,GREEN,N 3518 Acres Of Pine Ave,,80538,2636,A
279978355,NOLA,WILSON,S 540 Actinia Ct,,80543,9111,A
282295894,CHRISTOPHER,SCOGGIN,13249 Ada Trl,,80020,5562,A
281297984,GRACE,LUEVANO,S 2811 Adams Way,,80227,4115,A
280134418,LARRY,LEE,2171 Adams Point Cir,,80501,0917,A
143182126,SUSAN,GONZALEZ,119 Addeo Trl,,02882,2402,A
281738131,J,JARRELL,3048 Addison Dr,,80922,1275,A
281968193,ALLEN,GABEL,922 Addy Dr,,80907,4033,A
281726154,RICHARD,DINWIDDIE JR,4512 Adelaide Pl,,80923,7330,A
